# Simulation     CPU Time      Wallclock      TQ Time       PF Time      Diff Time      ATC Time     List Time     Seed Time   Enthalpy Time  Volume Time    Stress Time   Temp1d Time    Temp Time     Flow Time  Expansion Time
#  time [s]        [s]         Time [s]         [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]           [s]          [s]
  8.615986      9.984375      10.04800      0.000000      4.242000      0.000000      0.000000      4.923000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.706427      10.07812      10.14200      0.000000      4.289000      0.000000      0.000000      4.970000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.814936      10.15625      10.22000      0.000000      4.351000      0.000000      0.000000      4.986000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  8.915421      10.23438      10.31400      0.000000      4.398000      0.000000      0.000000      5.033000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.010307      10.32812      10.40800      0.000000      4.429000      0.000000      0.000000      5.096000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.110117      10.40625      10.48600      0.000000      4.461000      0.000000      0.000000      5.142000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.202294      10.48438      10.56400      0.000000      4.492000      0.000000      0.000000      5.174000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.306617      10.60938      10.68900      0.000000      4.538000      0.000000      0.000000      5.253000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.414889      10.70312      10.78300      0.000000      4.585000      0.000000      0.000000      5.300000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.500424      10.78125      10.86100      0.000000      4.632000      0.000000      0.000000      5.300000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.600743      10.89062      10.97000      0.000000      4.664000      0.000000      0.000000      5.331000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.704526      10.96875      11.06400      0.000000      4.695000      0.000000      0.000000      5.378000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.813276      11.03125      11.12600      0.000000      4.711000      0.000000      0.000000      5.409000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  9.910548      11.14062      11.23600      0.000000      4.727000      0.000000      0.000000      5.487000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.00000      11.23438      11.33000      0.000000      4.774000      0.000000      0.000000      5.518000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.10464      11.34375      11.45400      0.000000      4.822000      0.000000      0.000000      5.548000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.20343      11.43750      11.54800      0.000000      4.886000      0.000000      0.000000      5.578000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.31337      11.51562      11.62600      0.000000      4.917000      0.000000      0.000000      5.625000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.40276      11.60938      11.72000      0.000000      4.949000      0.000000      0.000000      5.671000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.51120      11.68750      11.79800      0.000000      4.981000      0.000000      0.000000      5.717000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.61684      11.78125      11.89200      0.000000      5.012000      0.000000      0.000000      5.780000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.70227      11.85938      11.98600      0.000000      5.028000      0.000000      0.000000      5.842000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.80256      11.95312      12.08000      0.000000      5.059000      0.000000      0.000000      5.905000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  10.90467      12.03125      12.15800      0.000000      5.090000      0.000000      0.000000      5.952000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.01323      12.10938      12.23600      0.000000      5.121000      0.000000      0.000000      5.999000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
  11.10201      12.17188      12.29800      0.000000      5.121000      0.000000      0.000000      6.031000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000      0.000000    
